web_scraper_order,web_scraper_start_url,data
"1774426831-111","https://musicbrainz.org/genres","avant-garde"
"1774426831-112","https://musicbrainz.org/genres","avant-garde jazz"
"1774426831-113","https://musicbrainz.org/genres","avant-garde metal"
"1774426831-114","https://musicbrainz.org/genres","avant-garde pop"
"1774426831-115","https://musicbrainz.org/genres","avant-prog"
"1774426831-116","https://musicbrainz.org/genres","avanzada"
"1774426831-117","https://musicbrainz.org/genres","avtorskaya pesnya"
"1774426831-118","https://musicbrainz.org/genres","axé"
"1774426831-119","https://musicbrainz.org/genres","bacardi"
"1774426831-120","https://musicbrainz.org/genres","bachata"
"1774426831-121","https://musicbrainz.org/genres","bachatón"
"1774426831-122","https://musicbrainz.org/genres","bagad"
"1774426831-123","https://musicbrainz.org/genres","bagatelle"
"1774426831-124","https://musicbrainz.org/genres","baguala"
"1774426831-125","https://musicbrainz.org/genres","baião"
"1774426831-126","https://musicbrainz.org/genres","baila"
"1774426831-127","https://musicbrainz.org/genres","baisha xiyue"
"1774426831-128","https://musicbrainz.org/genres","baithak gana"
"1774426831-129","https://musicbrainz.org/genres","bakersfield sound"
"1774426831-130","https://musicbrainz.org/genres","balani show"
"1774426831-131","https://musicbrainz.org/genres","balearic beat"
"1774426831-132","https://musicbrainz.org/genres","balearic trance"
"1774426831-133","https://musicbrainz.org/genres","balinese gamelan"
"1774426831-134","https://musicbrainz.org/genres","balitaw"
"1774426831-135","https://musicbrainz.org/genres","ballad"
"1774426831-136","https://musicbrainz.org/genres","ballad opera"
"1774426831-137","https://musicbrainz.org/genres","ballet"
"1774426831-138","https://musicbrainz.org/genres","ballet de cour"
"1774426831-139","https://musicbrainz.org/genres","ballroom house"
"1774426831-140","https://musicbrainz.org/genres","baltimore club"
"1774426831-141","https://musicbrainz.org/genres","bambuco"
"1774426831-142","https://musicbrainz.org/genres","banda sinaloense"
"1774426831-143","https://musicbrainz.org/genres","bandari"
"1774426831-144","https://musicbrainz.org/genres","bandinha"
"1774426831-145","https://musicbrainz.org/genres","banga"
"1774426831-146","https://musicbrainz.org/genres","bantengan"
"1774426831-147","https://musicbrainz.org/genres","baqashot"
"1774426831-148","https://musicbrainz.org/genres","barber beats"
"1774426831-149","https://musicbrainz.org/genres","barbershop"
"1774426831-150","https://musicbrainz.org/genres","bard rock"
"1774426831-151","https://musicbrainz.org/genres","bardcore"
"1774426831-152","https://musicbrainz.org/genres","baroque"
"1774426831-153","https://musicbrainz.org/genres","baroque pop"
"1774426831-154","https://musicbrainz.org/genres","baroque suite"
"1774426831-155","https://musicbrainz.org/genres","bashment soca"
"1774426831-156","https://musicbrainz.org/genres","bass house"
"1774426831-157","https://musicbrainz.org/genres","bassline"
"1774426831-158","https://musicbrainz.org/genres","batida"
"1774426831-159","https://musicbrainz.org/genres","batidão romântico"
"1774426831-160","https://musicbrainz.org/genres","batonebi songs"
"1774426831-161","https://musicbrainz.org/genres","battle rap"
"1774426831-162","https://musicbrainz.org/genres","battle record"
"1774426831-163","https://musicbrainz.org/genres","batucada"
"1774426831-164","https://musicbrainz.org/genres","batuque"
"1774426831-165","https://musicbrainz.org/genres","baul gaan"
"1774426831-166","https://musicbrainz.org/genres","beach music"
"1774426831-167","https://musicbrainz.org/genres","beat bolha"
"1774426831-168","https://musicbrainz.org/genres","beat bruxaria"
"1774426831-169","https://musicbrainz.org/genres","beat fino"
"1774426831-170","https://musicbrainz.org/genres","beat music"
"1774426831-171","https://musicbrainz.org/genres","beat poetry"
"1774426831-172","https://musicbrainz.org/genres","beat rock"
"1774426831-173","https://musicbrainz.org/genres","beatboxing"
"1774426831-174","https://musicbrainz.org/genres","beatdown hardcore"
"1774426831-175","https://musicbrainz.org/genres","bebop"
"1774426831-176","https://musicbrainz.org/genres","bedroom pop"
"1774426831-177","https://musicbrainz.org/genres","beijing opera"
"1774426831-178","https://musicbrainz.org/genres","bélé"
"1774426831-179","https://musicbrainz.org/genres","belgian techno"
"1774426831-180","https://musicbrainz.org/genres","bend-skin"
"1774426831-181","https://musicbrainz.org/genres","beneventan chant"
"1774426831-182","https://musicbrainz.org/genres","benga"
"1774426831-183","https://musicbrainz.org/genres","beni"
"1774426831-184","https://musicbrainz.org/genres","benna"
"1774426831-185","https://musicbrainz.org/genres","beompae"
"1774426831-186","https://musicbrainz.org/genres","bérite club"
"1774426831-187","https://musicbrainz.org/genres","berlin school"
"1774426831-188","https://musicbrainz.org/genres","bhajan"
"1774426831-189","https://musicbrainz.org/genres","bhangra"
"1774426831-190","https://musicbrainz.org/genres","bhavageethe"
"1774426831-191","https://musicbrainz.org/genres","bhojpuri pop"
"1774426831-192","https://musicbrainz.org/genres","big band"
"1774426831-193","https://musicbrainz.org/genres","big beat"
"1774426831-194","https://musicbrainz.org/genres","big room house"
"1774426831-195","https://musicbrainz.org/genres","big room trance"
"1774426831-196","https://musicbrainz.org/genres","biguine"
"1774426831-197","https://musicbrainz.org/genres","bikutsi"
"1774426831-198","https://musicbrainz.org/genres","binaural beats"
"1774426831-199","https://musicbrainz.org/genres","biraha"
"1774426831-200","https://musicbrainz.org/genres","birdsong"
"1774426831-201","https://musicbrainz.org/genres","birmingham sound"
"1774426831-202","https://musicbrainz.org/genres","bit music"
"1774426831-203","https://musicbrainz.org/genres","bitpop"
"1774426831-204","https://musicbrainz.org/genres","black 'n' roll"
"1774426831-205","https://musicbrainz.org/genres","black ambient"
"1774426831-206","https://musicbrainz.org/genres","black metal"
"1774426831-207","https://musicbrainz.org/genres","black midi"
"1774426831-208","https://musicbrainz.org/genres","black noise"
"1774426831-209","https://musicbrainz.org/genres","blackened crust"
"1774426831-210","https://musicbrainz.org/genres","blackened death metal"
"1774426831-211","https://musicbrainz.org/genres","blackgaze"
"1774426831-212","https://musicbrainz.org/genres","bleep techno"
"1774426831-213","https://musicbrainz.org/genres","blue-eyed soul"
"1774426831-214","https://musicbrainz.org/genres","bluegrass"
"1774426831-215","https://musicbrainz.org/genres","bluegrass gospel"
"1774426831-216","https://musicbrainz.org/genres","blues"
"1774426831-217","https://musicbrainz.org/genres","blues rock"
"1774426831-218","https://musicbrainz.org/genres","bocet"
"1774426831-219","https://musicbrainz.org/genres","boduberu"
"1774426831-220","https://musicbrainz.org/genres","boedra"
"1774426831-221","https://musicbrainz.org/genres","bogino duu"
"1774426831-222","https://musicbrainz.org/genres","bolero"
"1774426831-223","https://musicbrainz.org/genres","bolero español"
"1774426831-224","https://musicbrainz.org/genres","bolero son"
"1774426831-225","https://musicbrainz.org/genres","bolero-beat"
"1774426831-226","https://musicbrainz.org/genres","bomba"
"1774426831-227","https://musicbrainz.org/genres","bomba del chota"
"1774426831-228","https://musicbrainz.org/genres","bongo flava"
"1774426831-229","https://musicbrainz.org/genres","boogaloo"
"1774426831-230","https://musicbrainz.org/genres","boogie"
"1774426831-231","https://musicbrainz.org/genres","boogie rock"
"1774426831-232","https://musicbrainz.org/genres","boogie-woogie"
"1774426831-233","https://musicbrainz.org/genres","boom bap"
"1774426831-234","https://musicbrainz.org/genres","bossa nova"
"1774426831-235","https://musicbrainz.org/genres","bounce"
"1774426831-236","https://musicbrainz.org/genres","bounce beat"
"1774426831-237","https://musicbrainz.org/genres","bouncy techno"
"1774426831-238","https://musicbrainz.org/genres","bouyon"
"1774426831-239","https://musicbrainz.org/genres","boyfriend country"
"1774426831-240","https://musicbrainz.org/genres","brass band"
"1774426831-241","https://musicbrainz.org/genres","brazilian bass"
"1774426831-242","https://musicbrainz.org/genres","brazilian phonk"
"1774426831-243","https://musicbrainz.org/genres","break-in"
"1774426831-244","https://musicbrainz.org/genres","breakbeat"
"1774426831-245","https://musicbrainz.org/genres","breakbeat hardcore"
"1774426831-246","https://musicbrainz.org/genres","breakbeat kota"
"1774426831-247","https://musicbrainz.org/genres","breakcore"
